"dataset","arm","x_min","x_max","n_negative","w_nec4param","w_zero_asymptote","top_model","top_weight","w_failing_rhat","w_failing_ess","estimate","value","lower","upper"
"c_proliferum","beta",0.01,20,12,0.00961059202389828,0.0526715673781541,"ecxwb1",0.590419010701884,0.00961059202389828,0.00961059202389828,"ErC10",3.62928774095012,2.44795142565811,4.88359981934704
"c_proliferum","beta",0.01,20,12,0.00961059202389828,0.0526715673781541,"ecxwb1",0.590419010701884,0.00961059202389828,0.00961059202389828,"ErC50",6.86278402457243,5.82033339369594,7.54281384658966
"c_proliferum","beta",0.01,20,12,0.00961059202389828,0.0526715673781541,"ecxwb1",0.590419010701884,0.00961059202389828,0.00961059202389828,"NSEC",2.3001484417544,0.77547304354764,4.03424010294685
"c_proliferum","censored",0.01,20,12,0.319377527635663,0.0045786773417734,"neclin",0.461338393526135,0,0,"ErC10",3.44632068369132,1.41371461273717,4.28275970393242
"c_proliferum","censored",0.01,20,12,0.319377527635663,0.0045786773417734,"neclin",0.461338393526135,0,0,"ErC50",6.81814684413924,6.23312611146724,7.45242414200119
"c_proliferum","censored",0.01,20,12,0.319377527635663,0.0045786773417734,"neclin",0.461338393526135,0,0,"NSEC",2.84171350931731,0.560129542024044,3.85040733773095
"c_proliferum","deleted",0.01,20,12,0.119695619601914,0.504690226866446,"nec3param",0.327046879212028,0,0.000263655641759806,"ErC10",3.39674339784364,2.51833417209318,4.24371159531084
"c_proliferum","deleted",0.01,20,12,0.119695619601914,0.504690226866446,"nec3param",0.327046879212028,0,0.000263655641759806,"ErC50",6.94443434830291,6.21795577000043,7.65721290374557
"c_proliferum","deleted",0.01,20,12,0.119695619601914,0.504690226866446,"nec3param",0.327046879212028,0,0.000263655641759806,"NSEC",2.7795957730905,1.17641210665923,3.87111115781303
"c_proliferum","floored",0.01,20,12,0.129712081223439,0.606126128795485,"ecxsigm",0.279386869008726,0,0,"ErC10",3.53012087664116,2.54057569860614,4.36924417223969
"c_proliferum","floored",0.01,20,12,0.129712081223439,0.606126128795485,"ecxsigm",0.279386869008726,0,0,"ErC50",6.79528115205473,6.08072052224895,7.42756634898468
"c_proliferum","floored",0.01,20,12,0.129712081223439,0.606126128795485,"ecxsigm",0.279386869008726,0,0,"NSEC",2.3276336982371,0.835654154532453,4.05111150955506
"c_proliferum","gamma",0.01,20,12,0.00243530266459745,0.191146126847807,"ecxwb1",0.514514205005107,0,0,"ErC10",3.42930976877781,1.03172848802405,7.85116458172367
"c_proliferum","gamma",0.01,20,12,0.00243530266459745,0.191146126847807,"ecxwb1",0.514514205005107,0,0,"ErC50",7.22943102832612,5.26343901136328,8.91694449737111
"c_proliferum","gamma",0.01,20,12,0.00243530266459745,0.191146126847807,"ecxwb1",0.514514205005107,0,0,"NSEC",3.90016865622508,1.22657721417266,7.76348023945113
"c_proliferum","measured",0.01,20,12,0.0640855419316249,1.07418383504805e-18,"ecxwb1",0.490678687657066,0,0.15091565713792,"ErC10",7.92869092297289,5.24531500259966,9.9009528198436
"c_proliferum","measured",0.01,20,12,0.0640855419316249,1.07418383504805e-18,"ecxwb1",0.490678687657066,0,0.15091565713792,"ErC50",9.41334872796062,8.25511646097358,9.97530375266001
"c_proliferum","measured",0.01,20,12,0.0640855419316249,1.07418383504805e-18,"ecxwb1",0.490678687657066,0,0.15091565713792,"NSEC",7.79259253453858,4.783859262383,9.90378639785157
