"cell","arm","iteration","model","weight","max_rhat","min_ess_tail"
"p1","beta_ll",1,"nec3param",0.0269373585353526,1.00101757681803,1820.12191299943
"p1","beta_ll",1,"nec4param",0.0114182625007003,1.00332876747188,2375.15523640716
"p1","beta_ll",1,"ecxexp",0.000102411627382719,1.00041274368269,3198.87425176532
"p1","beta_ll",1,"ecxsigm",0.00427526975980071,1.00303657284996,3959.11349186431
"p1","beta_ll",1,"ecx4param",0.270564037173117,1.0006832219021,2997.52507328775
"p1","beta_ll",1,"ecxwb1",0.115667039118027,1.00067666821595,2054.86342429492
"p1","beta_ll",1,"ecxwb2",0.235920772673256,1.00044154201602,3858.81516562008
"p1","beta_ll",1,"ecxwb1p3",2.9283741793879e-10,1.00030369690291,2409.79704624243
"p1","beta_ll",1,"ecxwb2p3",0.00813177092905945,1.00073633489449,1976.028273912
"p1","beta_ll",1,"ecxll4",0.324541210186462,1.00067966338302,3160.4130527061
"p1","beta_ll",1,"ecxll3",0.00244186720400468,1.00046349676366,2477.88951105185
"p1","beta_ll",2,"nec3param",0.00320473079166858,1.0000916118989,2260.11093437476
"p1","beta_ll",2,"nec4param",0.00265294546936321,1.00048664632882,2407.2302789147
"p1","beta_ll",2,"ecxexp",0.00210514550558977,1.00027241052081,2940.44222760701
"p1","beta_ll",2,"ecxsigm",0.0261448939149113,1.00017460893569,3646.64287700092
"p1","beta_ll",2,"ecx4param",0.747198702567798,1.00020523671934,3068.56940168414
"p1","beta_ll",2,"ecxwb2",0.148086724636823,1.0008043441418,1890.33420371907
"p1","beta_ll",2,"ecxwb1p3",1.47604442822135e-06,1.00201876068944,3205.376776852
"p1","beta_ll",2,"ecxwb2p3",0.0384693413106591,1.00007596925918,1990.00728241771
"p1","beta_ll",2,"ecxll3",0.0321360397587583,1.00137700573126,2763.20633844389
"p1","beta_ll",3,"nec3param",0.0218878212338698,1.00038198576762,2928.64047475602
"p1","beta_ll",3,"nec4param",0.0692272856791955,1.00009292644045,1331.954989926
"p1","beta_ll",3,"ecxexp",6.98816369638146e-08,1.00141363785878,3087.69625216429
"p1","beta_ll",3,"ecxsigm",0.0050855701331308,1.00031182151187,3751.98384790598
"p1","beta_ll",3,"ecx4param",0.180774402367318,1.00073209183197,2390.507399972
"p1","beta_ll",3,"ecxwb1",0.0185118162490069,1.00098834188189,1351.12428592374
"p1","beta_ll",3,"ecxwb2",0.509699455755245,1.0008481686813,4037.11795407746
"p1","beta_ll",3,"ecxwb1p3",2.2092110783052e-12,1.00058194031244,1752.79386076774
"p1","beta_ll",3,"ecxwb2p3",0.0112953857719042,1.00149362787039,2878.22482648271
"p1","beta_ll",3,"ecxll4",0.182606473863769,1.00034123734746,3429.6201828161
"p1","beta_ll",3,"ecxll3",0.000911719062714775,1.00091497693158,3085.16371978457
"p1","beta_ll",4,"nec3param",0.155857098858476,1.00005428422515,2580.94781804547
"p1","beta_ll",4,"nec4param",0.0647568206843131,1.00180518684906,3082.00922164043
"p1","beta_ll",4,"ecxexp",1.78921253304964e-07,1.00034089877194,3111.67306201731
"p1","beta_ll",4,"ecxsigm",0.00333381064089514,1.00035056047437,4069.29270452867
"p1","beta_ll",4,"ecx4param",0.182007548874231,1.00119986110493,3133.467710853
"p1","beta_ll",4,"ecxwb1",0.0550844472335107,1.00052457243092,2547.82539482853
"p1","beta_ll",4,"ecxwb2",0.394803306908563,1.00054893340564,4333.67350208634
"p1","beta_ll",4,"ecxwb1p3",4.82851048195361e-13,1.0005270084367,1867.224157888
"p1","beta_ll",4,"ecxwb2p3",0.00849887512464351,1.00091456535942,3351.62137434843
"p1","beta_ll",4,"ecxll4",0.132803713192387,1.00160852223976,2456.09888417719
"p1","beta_ll",4,"ecxll3",0.00285419956124441,1.00089961618766,3335.45510576881
"p1","beta_ll",5,"nec3param",0.00109392029762191,1.00129876289784,3064.61540727929
"p1","beta_ll",5,"nec4param",0.005380068202105,1.00115904842897,2538.52561884511
"p1","beta_ll",5,"ecxexp",5.66988986109321e-06,1.00030714435825,3121.52970160919
"p1","beta_ll",5,"ecxsigm",9.63592378211853e-05,0.999989192667228,4111.17909113578
"p1","beta_ll",5,"ecx4param",0.337693845042287,1.00070358418536,3107.93517081095
"p1","beta_ll",5,"ecxwb1",0.175576640281895,1.0006782364928,2747.00581800952
"p1","beta_ll",5,"ecxwb2",0.119361583888704,1.00188324649015,3981.34936319524
"p1","beta_ll",5,"ecxwb1p3",3.60158055761019e-10,1.0012657749778,2495.94455377691
"p1","beta_ll",5,"ecxwb2p3",0.00420239244674908,1.00166146285082,2769.38897517694
"p1","beta_ll",5,"ecxll4",0.351293945230294,1.00041969181533,1803.87909137636
"p1","beta_ll",5,"ecxll3",0.00529557512250402,1.00016712695229,2856.85672252941
"p1","beta_ll",6,"nec3param",0.0908082265568791,1.00008106161313,2834.93782963182
"p1","beta_ll",6,"nec4param",0.0596640621146854,1.0007714221458,3673.71547053643
"p1","beta_ll",6,"ecxexp",0.000280999079738637,1.00093564407193,3306.70853170746
"p1","beta_ll",6,"ecxsigm",0.0218574068376497,1.00034905890637,3359.35334065415
"p1","beta_ll",6,"ecx4param",0.169278439628356,1.00106427715988,2903.53008183376
"p1","beta_ll",6,"ecxwb1",0.251757647089041,1.00032772865203,2665.23433276248
"p1","beta_ll",6,"ecxwb2",0.220610409386227,1.00208655440893,4343.05587846196
"p1","beta_ll",6,"ecxwb1p3",2.87708758873004e-15,1.21656677437345,16.9461770739423
"p1","beta_ll",6,"ecxwb2p3",0.0462927064773153,1.00083466026914,2514.40989278645
"p1","beta_ll",6,"ecxll4",0.133202807737936,1.00063338738231,2342.82464055369
"p1","beta_ll",6,"ecxll3",0.00624729509216999,1.00003711814249,3198.3517610094
