"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"ctl","beta","ErC10",2.01968716248917,100,100,0.00240468529373095,0.0236875267507731,0.119062265601931,0.235700182317818,1,0,1.51240945853697,4,1,2.3,0.096,"none"
"ctl","censored","ErC10",2.01968716248917,100,100,-0.0424848046303012,0.0293282988497439,-2.10353392442921,0.294889336621459,0.97,0.017058722109232,1.309893192388,4,1,2.3,0.096,"none"
"ctl","deleted","ErC10",2.01968716248917,100,100,-0.0486983898545592,0.0297745432741259,-2.41118479926073,0.300228833501254,0.96,0.0195959179422654,1.3045903789063,4,1,2.3,0.096,"none"
"ctl","floored","ErC10",2.01968716248917,100,100,-0.0475689806096753,0.0291720587447187,-2.35526479016923,0.294130413329479,0.96,0.0195959179422654,1.29731483065646,4,1,2.3,0.096,"none"
"ctl","gamma","ErC10",2.01968716248917,100,100,0.279291984677679,0.06689005925331,13.8284774922006,0.721774019599914,0.99,0.0099498743710662,4.46683947637518,4,1,2.3,0.096,"none"
"ctl","measured","ErC10",2.01968716248917,100,100,-0.0482808871547262,0.0291453438747032,-2.39051314735409,0.293984183166956,0.98,0.014,1.31131711230036,4,1,2.3,0.096,"none"
"d2","beta","ErC10",2.50768524465496,100,100,0.0704179136750551,0.0312953884529374,2.80808422130123,0.319248202923606,0.99,0.0099498743710662,2.28145371357673,2,2,2.3,0.096,"none"
"d2","censored","ErC10",2.50768524465496,100,100,-0.351494900338855,0.0416693890006272,-14.0167072836615,0.543549560714656,0.97,0.017058722109232,1.70189374316914,2,2,2.3,0.096,"none"
"d2","deleted","ErC10",2.50768524465496,100,100,-0.237365872108206,0.041783784164473,-9.46553689758884,0.478732842546772,0.97,0.017058722109232,1.79048975828666,2,2,2.3,0.096,"none"
"d2","floored","ErC10",2.50768524465496,100,100,-0.18344797265188,0.0402447198098108,-7.31543055664152,0.440451210072731,0.97,0.017058722109232,1.7751539824648,2,2,2.3,0.096,"none"
"d2","gamma","ErC10",2.50768524465496,100,100,0.135414895113551,0.111038552834061,5.39999568933873,1.11308744272469,0.89,0.031288975694324,5.83362869051377,2,2,2.3,0.096,"none"
"d2","measured","ErC10",2.50768524465496,100,100,-0.428983224145839,0.0425867069047587,-17.1067411693793,0.602972420175873,0.94,0.0237486841740758,1.64305404641887,2,2,2.3,0.096,"none"
"d8","beta","ErC10",1.69802987177516,100,100,-0.0022892701638193,0.0223239054505061,-0.134819192634465,0.222131851519843,0.99,0.0099498743710662,1.26685325567221,8,2,2.3,0.096,"none"
"d8","censored","ErC10",1.69802987177516,100,100,-0.0176951023122189,0.0160756699859104,-1.04209605533736,0.160926710119651,0.99,0.0099498743710662,0.852332097098374,8,2,2.3,0.096,"none"
"d8","deleted","ErC10",1.69802987177516,100,100,0.0174893803394613,0.0157298996862674,1.02998072237549,0.157484675745044,0.98,0.014,0.835443745399662,8,2,2.3,0.096,"none"
"d8","floored","ErC10",1.69802987177516,100,100,0.031114386166528,0.0169498093807069,1.83238155486631,0.171494643626871,0.96,0.0195959179422654,0.810846147714328,8,2,2.3,0.096,"none"
"d8","gamma","ErC10",1.69802987177516,100,100,-0.211528175676615,0.0349182263060689,-12.4572705811988,0.40675931386128,0.88,0.0324961536185438,2.42404230395532,8,2,2.3,0.096,"none"
"d8","measured","ErC10",1.69802987177516,100,100,-0.0148837125534151,0.0155117672470734,-0.876528310886274,0.15505612625428,0.99,0.0099498743710662,0.911477449907236,8,2,2.3,0.096,"none"
"p1","beta","ErC10",2.01968716248917,100,100,-0.0173383183692493,0.0285236670616322,-0.858465543142861,0.284336026499483,1,0,1.64965716767305,4,2,2.3,0.096,"none"
"p1","censored","ErC10",2.01968716248917,100,100,-0.168183895223134,0.0343050094988617,-8.32722504488544,0.380515908481377,0.96,0.0195959179422654,1.36412456382088,4,2,2.3,0.096,"none"
"p1","deleted","ErC10",2.01968716248917,100,100,-0.0920217411795663,0.0311603817616214,-4.5562373662936,0.323409911120838,0.97,0.017058722109232,1.33997417343454,4,2,2.3,0.096,"none"
"p1","floored","ErC10",2.01968716248917,100,100,-0.0627727258704061,0.0300888768597298,-3.10804202929337,0.305890708702503,0.97,0.017058722109232,1.24876658371557,4,2,2.3,0.096,"none"
"p1","gamma","ErC10",2.01968716248917,100,100,-0.174763801921231,0.0672384868922213,-8.65301345510572,0.691464232117576,0.84,0.0366606055596467,3.70366473139657,4,2,2.3,0.096,"none"
"p1","measured","ErC10",2.01968716248917,100,100,-0.183903472457996,0.0380267490695697,-9.10554247576363,0.420687316206837,0.97,0.017058722109232,1.43412669939531,4,2,2.3,0.096,"none"
"p2","beta","ErC10",2.01968716248917,100,100,0.0376463004562746,0.0190210728289675,1.86396691306773,0.192965188267127,0.99,0.0099498743710662,1.1829254556834,4,2,3.3,0.0669719164461943,"none"
"p2","censored","ErC10",2.01968716248917,100,100,-0.0472556179482733,0.016824180203557,-2.33974938425776,0.173940634528932,0.95,0.0217944947177034,0.946993238679035,4,2,3.3,0.0669719164461943,"none"
"p2","deleted","ErC10",2.01968716248917,100,100,-0.0304866579031524,0.0164386380438036,-1.50947426261694,0.16637935437694,0.98,0.014,0.900137811314354,4,2,3.3,0.0669719164461943,"none"
"p2","floored","ErC10",2.01968716248917,100,100,-0.0443679527524992,0.018785479936956,-2.19677351901459,0.192106862504086,0.98,0.014,0.936019630672851,4,2,3.3,0.0669719164461943,"none"
"p2","gamma","ErC10",2.01968716248917,100,100,-0.343857035774474,0.0389860082355295,-17.0252622366865,0.518371137340366,0.71,0.0453762052181537,2.7338374541602,4,2,3.3,0.0669719164461943,"none"
"p2","measured","ErC10",2.01968716248917,100,100,-0.0296178593697851,0.0179636062011599,-1.4664577722662,0.181172959408773,0.96,0.0195959179422654,1.03696150721137,4,2,3.3,0.0669719164461943,"none"
"p3","beta","ErC10",2.01968716248917,100,100,0.133041247362789,0.0108370266699779,6.58722052769905,0.17125024688269,0.9,0.03,0.532620732048245,4,2,17,0.0282221160540261,"none"
"p3","censored","ErC10",2.01968716248917,100,100,-0.00625311392444017,0.00882862950253252,-0.309608044284121,0.0880660355878349,0.94,0.0237486841740758,0.370408840096275,4,2,17,0.0282221160540261,"none"
"p3","deleted","ErC10",2.01968716248917,100,100,-0.00707746889436001,0.00888773664208691,-0.350424017432352,0.0887146265575241,0.94,0.0237486841740758,0.378824265023457,4,2,17,0.0282221160540261,"none"
"p3","floored","ErC10",2.01968716248917,100,100,-0.0102463902729504,0.00901909310361776,-0.507325612760849,0.0903219160247746,0.96,0.0195959179422654,0.452502570758129,4,2,17,0.0282221160540261,"none"
"p3","gamma","ErC10",2.01968716248917,100,100,-0.496646135841394,0.022477591667495,-24.5902506618551,0.544680048134758,0.26,0.0438634243989226,0.735666766446297,4,2,17,0.0282221160540261,"none"
"p3","measured","ErC10",2.01968716248917,100,100,0.0117646465278032,0.00791365380996472,0.582498455518419,0.0796138973653287,0.93,0.0255147016443461,0.30186356591156,4,2,17,0.0282221160540261,"none"
"p4","beta","ErC10",2.01968716248917,100,100,0.187566182678123,0.00664201273076704,9.28689284963105,0.198868272640194,0.55,0.049749371855331,0.39997640257264,4,2,73,0.0186365299331132,"none"
"p4","censored","ErC10",2.01968716248917,100,100,-0.00112551499758817,0.0047097432456095,-0.0557271947107407,0.0468748679627651,0.96,0.0195959179422654,0.208287338092301,4,2,73,0.0186365299331132,"none"
