"cell","arm","estimate","truth","n_run","n_used","rel_bias","rmse","coverage","width","cv_control"
"p1","beta_ll","ErC10",2.01968716248917,100,100,-0.524179393291345,0.271939885137137,1,1.33441635027418,0.096
"p1","beta_pw","ErC10",2.01968716248917,100,100,57.2832108174923,2.67047453695987,0.84,2.17061847082749,0.096
"p1","floored_ll","ErC10",2.01968716248917,100,100,-2.83937746238066,0.299851890094718,1,1.40662160880461,0.096
"p1","gamma_ll","ErC10",2.01968716248917,100,100,-7.38563498860519,0.389045382080223,0.92,1.29129619222662,0.096
"p1","gamma_pw","ErC10",2.01968716248917,100,100,-5.96593920277999,0.348211282783255,0.97,1.32772783838637,0.096
"p2","beta_ll","ErC10",2.01968716248917,100,100,1.20441945599894,0.188310300195456,0.99,0.950629926160539,0.0669719164461943
"p2","beta_pw","ErC10",2.01968716248917,100,100,2.17888062138723,0.1813183297135,0.97,1.01984588619803,0.0669719164461943
"p2","floored_ll","ErC10",2.01968716248917,100,100,-4.19045080514833,0.230062333685904,0.98,1.06842560302629,0.0669719164461943
"p2","gamma_ll","ErC10",2.01968716248917,100,100,-12.5274381868066,0.371264100180528,0.88,0.987416194259514,0.0669719164461943
"p2","gamma_pw","ErC10",2.01968716248917,100,100,-9.23522671969539,0.295486900843734,0.95,1.02905696353622,0.0669719164461943
"p3","beta_ll","ErC10",2.01968716248917,100,100,6.17769017250658,0.156614949919797,0.85,0.47510180758285,0.0282221160540261
"p3","beta_pw","ErC10",2.01968716248917,100,100,8.96653159634518,0.200360953911919,0.75,0.519840267183642,0.0282221160540261
"p3","floored_ll","ErC10",2.01968716248917,100,100,-6.00426560507908,0.228724333601548,0.96,0.726920242853497,0.0282221160540261
"p3","gamma_ll","ErC10",2.01968716248917,100,100,-16.9941408007764,0.409108583916058,0.84,0.681929845912258,0.0282221160540261
"p3","gamma_pw","ErC10",2.01968716248917,100,100,-15.6871221177406,0.387583790215203,0.81,0.706846372321173,0.0282221160540261
"p4","beta_ll","ErC10",2.01968716248917,100,100,10.1914813275179,0.217658909227911,0.42,0.408757378566605,0.0186365299331132
"p4","beta_pw","ErC10",2.01968716248917,100,100,12.8517997082271,0.265790081212341,0.14,0.474305604537306,0.0186365299331132
"p4","floored_ll","ErC10",2.01968716248917,100,100,-6.90861326703075,0.238202953433695,1,0.686686196940647,0.0186365299331132
"p4","gamma_ll","ErC10",2.01968716248917,100,100,-18.9925282373433,0.4373011674811,0.82,0.657373215083548,0.0186365299331132
"p4","gamma_pw","ErC10",2.01968716248917,100,100,-18.781253064547,0.423402308930656,0.75,0.63659498850212,0.0186365299331132
"p1","beta_ll","ErC50",5.0532895646328,100,100,-1.93204854964642,0.289196766734738,1,1.22329445687267,0.096
"p1","beta_pw","ErC50",5.0532895646328,100,100,15.5528338609876,1.73966582395766,0.8,1.76317013209758,0.096
"p1","floored_ll","ErC50",5.0532895646328,100,100,-2.31429699723184,0.279994260760945,0.82,0.784754176556239,0.096
"p1","gamma_ll","ErC50",5.0532895646328,100,100,-0.439481798919638,0.220202818389349,0.97,1.02152638205298,0.096
"p1","gamma_pw","ErC50",5.0532895646328,100,100,-2.83304599521026,0.296173320449562,0.85,0.951290884016083,0.096
"p2","beta_ll","ErC50",5.0532895646328,100,100,-0.344491100188716,0.249862780693743,0.97,1.00882992586545,0.0669719164461943
"p2","beta_pw","ErC50",5.0532895646328,100,100,5.30113396806709,0.446410979800531,0.92,1.14067256424177,0.0669719164461943
"p2","floored_ll","ErC50",5.0532895646328,100,100,-2.07150613124706,0.190923660921937,0.87,0.604270421409471,0.0669719164461943
"p2","gamma_ll","ErC50",5.0532895646328,100,100,-0.429447510837783,0.188646372401563,0.95,0.798478005481772,0.0669719164461943
"p2","gamma_pw","ErC50",5.0532895646328,100,100,-2.20018129855215,0.214870802017602,0.86,0.726492257804366,0.0669719164461943
"p3","beta_ll","ErC50",5.05328956463279,100,100,0.560166341355149,0.118527613431279,0.99,0.739989491040874,0.0282221160540261
"p3","beta_pw","ErC50",5.05328956463279,100,100,9.90184103708214,0.563995299629486,0.9,0.987875858382133,0.0282221160540261
"p3","floored_ll","ErC50",5.05328956463279,100,100,-1.89934715046873,0.128781681403302,0.77,0.331285269356269,0.0282221160540261
"p3","gamma_ll","ErC50",5.05328956463279,100,100,-0.149642602704904,0.108042273476841,0.95,0.540351926628226,0.0282221160540261
"p3","gamma_pw","ErC50",5.05328956463279,100,100,-1.28037122377105,0.115773768463091,0.91,0.399407143376741,0.0282221160540261
"p4","beta_ll","ErC50",5.0532895646328,100,100,0.724799787858952,0.136643769458424,0.99,0.800915277635922,0.0186365299331132
"p4","beta_pw","ErC50",5.0532895646328,100,100,10.3007463148015,0.602547601267842,0.91,1.0824528164084,0.0186365299331132
"p4","floored_ll","ErC50",5.0532895646328,100,100,-2.12414346949315,0.120950580202479,0.66,0.274532342656151,0.0186365299331132
"p4","gamma_ll","ErC50",5.0532895646328,100,100,-0.683566543895241,0.105938662287667,0.9,0.527823408700137,0.0186365299331132
