"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"ctl","beta","ErC10",2.01968716248917,23,23,-0.195679335792085,0.0467856754491452,-9.68859630473265,0.294017329174918,1,0,1.3516972588829,4,1,2.3,0.096,"none"
"ctl","censored","ErC10",2.01968716248917,24,24,-0.0494041380868919,0.0491458693391123,-2.44612824225727,0.240817457301878,1,0,1.20539238540508,4,1,2.3,0.096,"none"
"ctl","deleted","ErC10",2.01968716248917,25,25,-0.0798667057902487,0.0491722635752175,-3.95440973600173,0.253788429240661,0.96,0.0391918358845309,1.20194894083633,4,1,2.3,0.096,"none"
"ctl","floored","ErC10",2.01968716248917,24,24,-0.0471716794328008,0.0466000909563593,-2.33559336856228,0.228410250021213,1,0,1.1917074558799,4,1,2.3,0.096,"none"
"ctl","gamma","ErC10",2.01968716248917,23,23,0.131218271208856,0.166087316402443,6.49696020482378,0.789992507201096,1,0,2.91128889487576,4,1,2.3,0.096,"none"
"ctl","measured","ErC10",2.01968716248917,21,21,-0.0406734054926157,0.0401313532291235,-2.01384680994296,0.184024009722591,1,0,1.20804610465644,4,1,2.3,0.096,"none"
"d2","beta","ErC10",2.50768524465496,24,24,-0.020982272174034,0.0546087262052104,-0.836718731697169,0.262733428086273,1,0,2.18390054464851,2,2,2.3,0.096,"none"
"d2","censored","ErC10",2.50768524465496,24,24,-0.401339265170673,0.109937564240922,-16.0043716023019,0.662614043381179,0.958333333333333,0.04078937543219,1.86562514160209,2,2,2.3,0.096,"none"
"d2","deleted","ErC10",2.50768524465496,25,25,-0.329961325185428,0.0992680585115206,-13.1580040154054,0.587685302431194,0.92,0.0542586398650021,1.81054688119753,2,2,2.3,0.096,"none"
"d2","floored","ErC10",2.50768524465496,23,23,-0.315180448196704,0.0926088887359682,-12.568580880256,0.536674624823567,0.91304347826087,0.0587533847558414,1.85003797221486,2,2,2.3,0.096,"none"
"d2","gamma","ErC10",2.50768524465496,25,25,0.138405815795256,0.367823095475231,5.51926586840445,1.80726535943272,0.88,0.0649923072370877,5.29281208244819,2,2,2.3,0.096,"none"
