"cell","arm","n","control_ratio","control_ratio_lo","control_ratio_hi","control_mcse","gradient_median","n_floor_zero"
"p1","beta",100,1.0928866780613,0.859865628355678,1.36834378267962,0.0131831962254154,2.65542649587552,0
"p2","beta",100,1.08616086183219,0.836111723437472,1.43698299688307,0.0175475242180766,2.5575228999049,0
"p3","beta",100,1.08085647341744,0.82101117778301,1.36739324073075,0.0152163224811546,1.9550382411241,0
"p4","beta",100,1.09623160532081,0.848029591886836,1.37275831633319,0.0145902990267591,1.71431497976137,0
"p1","beta_ll",100,1.20443253273072,0.955170553498805,1.57779103671568,0.0157182086809348,5.54463742415183,0
"p2","beta_ll",100,1.25535781910773,0.954836132209021,1.80351938821111,0.0211512620175932,7.46066107559447,0
"p3","beta_ll",100,1.41661831119274,0.935734142260709,2.02410821304072,0.0282233308013206,7.68718343781294,0
"p4","beta_ll",100,1.70533300914382,1.15580616293835,3.61722130904145,0.0614833092143441,5.52496305384043,0
"p1","beta_pw",100,1.58762589729525,1.00482912060067,2.96556128645384,0.0546983079293788,43.8483017641129,0
"p2","beta_pw",100,1.46516470478218,1.04095445404811,1.97601713471378,0.0259828612547635,63.8427698533391,0
"p3","beta_pw",100,2.09717974550201,1.08528071920525,2.92383891762657,0.0468133117183261,52.8088784526254,0
"p4","beta_pw",100,2.89389995129487,1.18732349200219,4.22836170933928,0.0863562481281522,43.717410519754,0
"p1","floored",100,0.914246599652537,0.767364216707637,1.07316729086265,0.00857543948792979,1.03512370665926,0
"p2","floored",100,0.928234816201553,0.776329441760894,1.14585726327914,0.00959837102365213,1.03649273533311,0
"p3","floored",100,1.02088393278009,0.838889179683452,1.19457197197097,0.00941875117713026,1.05014393111796,0
"p4","floored",100,1.11978822573234,0.975703860246689,1.31070745063454,0.00889385620604891,1.05241888983823,0
"p1","floored_ll",100,1.08316853247067,0.860982331370693,1.32738812343414,0.012631771241944,2.19586806711344,0
"p2","floored_ll",100,1.09700977928837,0.878573397411506,1.46736560075558,0.0156175171632014,2.06315824805001,0
"p3","floored_ll",100,1.25678016329979,0.9038953749698,1.65653066695369,0.0192675354478406,1.95493964414327,0
"p4","floored_ll",100,1.49952647949957,1.14121300982842,2.06653388002912,0.0261541813792468,1.71931642088821,0
"p1","gamma",100,2.51227642828332,1.24675565114443,4.20881391643607,0.093041346822094,180.61882320116,0
"p2","gamma",100,2.51590077339526,1.36273728813432,4.95937663305172,0.108753653163965,154.358008266209,0
"p3","gamma",100,2.44864038361961,1.63778733538416,3.92852820476563,0.0627111091141896,105.005320859679,0
"p4","gamma",100,2.69252519254776,2.00089574282281,4.70121839033207,0.0675813954770172,90.0571606610021,0
"p1","gamma_ll",100,1.00688474518921,0.812423491091437,1.22963967246897,0.0122844184487385,31.3163871631485,0
"p2","gamma_ll",100,1.04395634509458,0.811770249917849,1.35700961677391,0.0135805205481323,31.7124476316653,0
"p3","gamma_ll",100,1.27044595368163,0.906528150034426,1.61494246869274,0.0186577917057827,19.0604656470756,0
"p4","gamma_ll",100,1.58863473031454,1.07700040943488,2.04675290626696,0.0265090381721539,17.6240464238225,0
"p1","gamma_pw",100,1.11333071841981,0.849436552805156,1.49086453497964,0.0169414244958073,1.75234435834115,0
"p2","gamma_pw",100,1.17139004111629,0.872388190584094,1.52580180454245,0.0183450113598738,2.66555764654315,0
"p3","gamma_pw",100,1.45423744923886,0.990388276175181,1.86087493559267,0.0250451459921795,5.08520951029123,0
"p4","gamma_pw",100,1.82425287716648,1.32606474434839,2.28246924780222,0.0274412683229127,4.61248858186711,0
"p1","measured",100,0.996948082547282,0.863256945697888,1.18204829862723,0.00862221113963437,1.03044071894129,0
"p2","measured",100,0.984485110006206,0.84397156550221,1.15939871568136,0.00928751672005231,1.02972947184897,0
"p3","measured",100,0.995811402113046,0.85728633722075,1.16457309466024,0.008353742364735,1.0285815034323,0
"p4","measured",100,0.978409488893875,0.811031609651424,1.1491974760521,0.00910205131587027,1.02939694179232,0
