"cell","arm","iteration","sigma_generated","sd_pred_control","sd_obs_control","sd_pred_floor","sd_obs_floor","control_ratio","gradient"
"p1","beta_ll",1,0.0114227536859671,0.0147468816281197,0.00976492115164585,0.00377574066365411,0,1.29100933396089,3.90569240363238
"p1","beta_ll",2,0.0114227536859671,0.0125739520026387,0.0107920553022192,0.00197966324644303,0,1.10078115560574,6.35156106738406
"p1","beta_ll",3,0.0114227536859671,0.0119977237374268,0.0127990377912482,0.00205407089986943,0,1.05033550291521,5.8409491795972
"p1","beta_ll",4,0.0114227536859671,0.0117651686009546,0.0103944093174124,0.00180472023814168,0,1.02997656470595,6.51910936238472
"p1","beta_ll",5,0.0114227536859671,0.0100245426456953,0.00836956383112482,0.00286849122455193,0,0.877594223012131,3.49470919063424
"p1","beta_ll",6,0.0114227536859671,0.0172042716320633,0.0100044779960717,0.00121087970459417,0,1.50614047234501,14.2080766295685
"p1","beta_ll",7,0.0114227536859671,0.0144205645696306,0.0133037353491961,0.00151595374198476,0,1.26244204909594,9.51253601627084
"p1","beta_ll",8,0.0114227536859671,0.0140998101797572,0.00857220998630632,0.00151535571620163,0,1.23436174563397,9.30462070984865
"p1","beta_ll",9,0.0114227536859671,0.0129931902805158,0.0112258064670464,0.00473352180221211,0,1.13748318818062,2.74493090418295
"p1","beta_ll",10,0.0114227536859671,0.0136264076425028,0.011181959588185,0.00639920993742432,0,1.1929179265454,2.12938906142332
"p1","beta_ll",11,0.0114227536859671,0.012553936021447,0.0111448726333246,0.00393130065901154,0,1.09902886524372,3.19332890316343
"p1","beta_ll",12,0.0114227536859671,0.0123957982377252,0.0103892484574265,0.00191921158008917,0,1.0851847617929,6.45879712603095
"p1","beta_ll",13,0.0114227536859671,0.0142296010246771,0.0164612845207562,0.00256143496707519,0,1.2457242286646,5.55532395223188
"p1","beta_ll",14,0.0114227536859671,0.0138728320338613,0.0063827542565294,0.000874895813632062,0,1.21449104263747,15.8565532234853
"p1","beta_ll",15,0.0114227536859671,0.0145133773163981,0.00993916991253313,0.00372945918413983,0,1.27056730061752,3.89155011485815
"p1","beta_ll",16,0.0114227536859671,0.015057712556098,0.0141232405948613,0.00142376280961845,0,1.31822089227017,10.5759979502016
"p1","beta_ll",17,0.0114227536859671,0.013855885380158,0.0119632386592884,0.0031499121562623,0,1.21300745521458,4.39881644083669
"p1","beta_ll",18,0.0114227536859671,0.0124258596198025,0.00979949781971397,0.00297883003255868,0,1.08781647240347,4.17138926490857
"p1","beta_ll",19,0.0114227536859671,0.0132216912206272,0.00988165623474451,0.00353864751142975,0,1.15748720353395,3.73636853569661
"p1","beta_ll",20,0.0114227536859671,0.0120214261717441,0.00748998748759456,0.00548171536625503,0,1.05241052221168,2.19300444633572
"p1","beta_ll",21,0.0114227536859671,0.0142821748015677,0.0159660804642155,0.00423881490126663,0,1.2503267770812,3.36937920957575
"p1","beta_ll",22,0.0114227536859671,0.0101612306494254,0.00807527363318291,0.00243548766980534,0,0.889560514809005,4.17215442122832
"p1","beta_ll",23,0.0114227536859671,0.0129752800855618,0.0137824978957388,0.00117976114995589,0,1.13591524795829,10.9982262816901
"p1","beta_ll",24,0.0114227536859671,0.0134965806846833,0.00909683207692748,0.000724535843886046,0,1.1815522820267,18.6278992248257
"p1","beta_ll",25,0.0114227536859671,0.0142757204482897,0.0165893093669711,0.00193375242961846,0,1.24976173353256,7.38239302489531
"p1","beta_ll",26,0.0114227536859671,0.0141582951252743,0.00835283769277066,0.00073826114395403,0,1.2394817847353,19.1778955742466
"p1","beta_ll",27,0.0114227536859671,0.0155432412951095,0.0142688299587179,0.00121529000512288,0,1.36072629441396,12.7897384406925
"p1","beta_ll",28,0.0114227536859671,0.0158552086557247,0.0119813521472133,0.00440422988184784,0,1.38803734122384,3.59999570437329
"p1","beta_ll",29,0.0114227536859671,0.0143019555188932,0.00801022803757802,0.00347284316796753,0,1.25205847137045,4.11822671717808
"p1","beta_ll",30,0.0114227536859671,0.0134359207514425,0.00791790368219541,0.00286896442277274,0,1.17624183457169,4.68319531772276
"p1","beta_ll",31,0.0114227536859671,0.011814077315026,0.0092134046920315,0.00209856074102198,0,1.03425825679316,5.62960941948845
"p1","beta_ll",32,0.0114227536859671,0.013166291634373,0.0119547586769807,0.00185290702771326,0,1.15263727086646,7.10574866274969
"p1","beta_ll",33,0.0114227536859671,0.0124388747134348,0.0085223511791766,0.00690501530688261,0,1.08895587311105,1.80142608822841
"p1","beta_ll",34,0.0114227536859671,0.0176726631943476,0.0101803654593555,0.00217820722522103,0,1.5471456078107,8.11339848188881
"p1","beta_ll",35,0.0114227536859671,0.0183394349771711,0.0133698178249944,0.000548002556933916,0,1.60551785334399,33.4659660709989
"p1","beta_ll",36,0.0114227536859671,0.012131373610496,0.0127638871389823,0.00215315110210778,0,1.06203582288563,5.63424164640385
"p1","beta_ll",37,0.0114227536859671,0.0129358606005463,0.0112388881358594,0.00329920294643864,0,1.13246428629884,3.92090477929223
"p1","beta_ll",38,0.0114227536859671,0.0120450267039184,0.00755822606533433,0.00759294527327886,0,1.0544766205294,1.58634446455282
"p1","beta_ll",39,0.0114227536859671,0.0137070142555261,0.0103034886576889,0.0043484743129615,0,1.19997459740073,3.15214331947866
"p1","beta_ll",40,0.0114227536859671,0.0142622642299973,0.00878868439807552,0.000576096523990622,0,1.2485837147586,24.7567267568333
"p1","beta_ll",41,0.0114227536859671,0.0124617962048468,0.00825075874118119,0.00354107080551128,0,1.09096252510076,3.51921689491534
"p1","beta_ll",42,0.0114227536859671,0.0145620303458519,0.0117969844544478,0.00351982942993791,0,1.27482660890616,4.13714091427117
"p1","beta_ll",43,0.0114227536859671,0.0142614370141976,0.00946997168135741,0.00101240491330254,0,1.24851129651144,14.0866928111557
"p1","beta_ll",44,0.0114227536859671,0.0133197556793188,0.00944313081549412,0.00240691613089189,0,1.16607221389026,5.53395089607178
"p1","beta_ll",45,0.0114227536859671,0.0167449522812614,0.0137342136294431,0.0015609782950695,0,1.46592955968512,10.7272166013787
"p1","beta_ll",46,0.0114227536859671,0.0146034978732862,0.0112565902096086,0.00412213730746275,0,1.2784568655478,3.5427004934668
"p1","beta_ll",47,0.0114227536859671,0.0153603520489695,0.00934241068121774,0.00133844156892657,0,1.34471533495813,11.4762963177306
"p1","beta_ll",48,0.0114227536859671,0.0127425987430633,0.0118541210487772,0.00220645521587014,0,1.11554526109738,5.77514497072539
"p1","beta_ll",49,0.0114227536859671,0.0137654799463742,0.0107543623240523,0.00438895989406572,0,1.20509295086045,3.13638772707549
"p1","beta_ll",50,0.0114227536859671,0.0146061008433775,0.0103280180256801,0.00186292563251812,0,1.27868474143158,7.84041004558749
"p1","beta_ll",51,0.0114227536859671,0.0109130893921827,0.010644150432857,0.00412921965789954,0,0.95538166121795,2.64289388705808
"p1","beta_ll",52,0.0114227536859671,0.0114015381731219,0.0103345393560886,0.00120132597688351,0,0.998142697161433,9.49079466565763
"p1","beta_ll",53,0.0114227536859671,0.0147408417679986,0.00847708537447304,0.0010561651687954,0,1.29048057703527,13.9569474581434
"p1","beta_ll",54,0.0114227536859671,0.0163886290443443,0.0129808451011425,0.00328006623158446,0,1.43473539698906,4.99643235448563
"p1","beta_ll",55,0.0114227536859671,0.0165527500393793,0.00963597194478649,0.00269892000696883,0,1.44910329807027,6.13310138745821
"p1","beta_ll",56,0.0114227536859671,0.0121391534871534,0.0111446421290103,0.00258691917427157,0,1.06271690880163,4.69251363084104
"p1","beta_ll",57,0.0114227536859671,0.0124655980856724,0.0106709012021709,0.0011860546954354,0,1.09129535910298,10.5101376299483
"p1","beta_ll",58,0.0114227536859671,0.0119164632700042,0.0104473924839414,0.00218227642202071,0,1.04322159066107,5.46056546721518
"p1","beta_ll",59,0.0114227536859671,0.0136640615919473,0.0114134594368401,0.00220210311277542,0,1.19621432516168,6.20500534814911
